"Remove Breadcrumbs from all Pages","Brotkrumennavigation aus allen Seiten entfernen"
"Remove Breadcrumbs from particular Pages only","Brotkrumennavigation nur aus bestimmten Seiten entfernen"
"Category Pages","Kategorieseiten"
"Product Pages","Artikelseiten"
"CMS Pages","CMS-Seiten"
"Search Results (Standard Search)","Suchergebnisse (Standardsuche)"
"Advanced Search (Search Form and Results)","Erweiterte Suche (Formular und Ergebnisse)"
"Disable Product Reviews","Kundenmeinungen deaktivieren"
"Disable Product Tags","Schlagworte deaktivieren"
"Disable Product Comparison","Artikelvergleich deaktivieren"
"Remove Recently Viewed/Compared Products Sidebar if Default Count is ""0""","Sidebar kürzlich angesehener/verglichener Artikel entfernen, wenn Standardanzahl ""0"" ist"
"Disable Catalog Search","Katalogsuche deaktivieren"
"Disable Advanced Catalog Search","Erweiterte Katalogsuche deaktivieren"
"Disable Newsletter","Newsletter deaktivieren"
"Customer Account Dashboard","Kundenlogin-Bereich"
"Remove unwanted Pages and Links","Unerwünschte Seiten und Links entfernen"
"Remove from Toplinks if Wishlist doesn't contain any Products or Customer is not logged in","Aus Toplinks entfernen, wenn Wunschzettel keine Artikel enthält oder der Besucher nicht eingeloggt ist"
"Remove Reorder Sidebar","Nachbestellungs-Sidebar entfernen"
"Disable Orders and Returns","Bestellungen und Rücksendungen deaktivieren"
"Estimate Shipping and Tax","Versandkostenschätzung"
"Disable Estimate Shipping and Tax","Versandkostenschätzung deaktivieren"
"Disable Discount Codes","Rabattcodes deaktivieren"
"Don't remove","Nicht entfernen"
"Remove if not necessary","Entfernen, wenn nicht erforderlich"
"Remove always","Immer entfernen"
"Disable Polls","Umfragen deaktivieren"
"Product Comparison","Artikelvergleich"
"Page Columns","Seitenspalten"
"Remove Default Callout Left","Linkes Standardbanner entfernen"
"Remove Default Callout Right","Rechtes Standardbanner entfernen"
"Remove Login Welcome Message","Login-Willkommensnachricht entfernen"
