"Remove Breadcrumbs from all Pages","Remove Breadcrumbs from all Pages"
"Remove Breadcrumbs from particular Pages only","Remove Breadcrumbs from particular Pages only"
"Category Pages","Category Pages"
"Product Pages","Product Pages"
"CMS Pages","CMS Pages"
"Search Results (Standard Search)","Search Results (Standard Search)"
"Advanced Search (Search Form and Results)","Advanced Search (Search Form and Results)"
"Disable Product Reviews","Disable Product Reviews"
"Disable Product Tags","Disable Product Tags"
"Disable Product Comparison","Disable Product Comparison"
"Remove Recently Viewed/Compared Products Sidebar if Default Count is ""0""","Remove Recently Viewed/Compared Products Sidebar if Default Count is ""0"""
"Disable Catalog Search","Disable Catalog Search"
"Disable Advanced Catalog Search","Disable Advanced Catalog Search"
"Disable Newsletter","Disable Newsletter"
"Customer Account Dashboard","Account Dashboard"
"Remove unwanted Pages and Links","Remove unwanted Pages and Links"
"Remove from Toplinks if Wishlist doesn't contain any Products or Customer is not logged in","Remove from Toplinks if Wishlist doesn't contain any Products or Customer is not logged in"
"Remove Reorder Sidebar","Remove Reorder Sidebar"
"Disable Orders and Returns","Disable Orders and Returns"
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Disable Estimate Shipping and Tax","Disable Estimate Shipping and Tax"
"Disable Discount Codes","Disable Discount Codes"
"Don't remove","Don't remove"
"Remove if not necessary","Remove if not necessary"
"Remove always","Remove always"
"Disable Polls","Disable Polls"
"Product Comparison","Product Comparison"
"Page Columns","Page Columns"
"Remove Default Callout Left","Remove Default Callout Left"
"Remove Default Callout Right","Remove Default Callout Right"
"Remove Login Welcome Message","Remove Login Welcome Message"
